Organization Name,Emission Year,CO2e
California African American Museum,2010,252.04298
California African American Museum,2011,252.28643
California African American Museum,2012,271.11083
California African American Museum,2013,254.20663
California African American Museum,2014,268.176653309
California Coastal Commission,2010,275.36043
California Coastal Commission,2011,277.29889
California Coastal Commission,2012,276.65077
California Coastal Commission,2013,258.66626
California Coastal Commission,2014,236.678504394
California Conservation Corps,2010,3680.64650892
California Conservation Corps,2011,3795.2976638
California Conservation Corps,2012,3793.33176772
California Conservation Corps,2013,3656.62692876
California Conservation Corps,2014,3893.02478502
California Department of Child Support Services,2010,1017.60904
California Department of Child Support Services,2011,1051.05542
California Department of Child Support Services,2012,1069.8479
California Department of Child Support Services,2013,682.74883
California Department of Child Support Services,2014,878.721861918
California Department of Conservation,2010,1685.43394
California Department of Conservation,2011,1651.35462
California Department of Conservation,2012,1572.86508
California Department of Conservation,2013,1314.37728
California Department of Conservation,2014,1233.575800445
California Department of Consumer Affairs,2010,3414.30593
California Department of Consumer Affairs,2011,3475.32183
California Department of Consumer Affairs,2012,3568.28836
California Department of Consumer Affairs,2013,3904.70078
California Department of Consumer Affairs,2014,3788.0524891
California Department of Corrections and Rehabilitation,2010,440150.84356
California Department of Corrections and Rehabilitation,2011,509839.50405
California Department of Corrections and Rehabilitation,2012,440405.00569
California Department of Corrections and Rehabilitation,2013,407237.23761
California Department of Corrections and Rehabilitation,2014,385449.666768375
California Department of Developmental Services,2010,48322.69517
California Department of Developmental Services,2011,41628.30514
California Department of Developmental Services,2012,41253.26061123
California Department of Developmental Services,2013,41761.09741
California Department of Developmental Services,2014,37927.222926487
California Department of Finance,2010,608.20763
California Department of Finance,2011,522.42698
California Department of Finance,2012,491.039
California Department of Finance,2013,569.43399
California Department of Finance,2014,480.1381257
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2010,21734.529167
California Department of Fish and Wildlife (formerly California Dept of Fish and Game prior to 2013),2011,22282.60326
